k_id,m_id,k_keyword
1,1,mexico
2,1,food
3,1,female full frontal nudity
4,1,marriage
5,1,love
6,2,spider man character
7,2,superhero
8,2,marvel cinematic universe
9,2,multiverse
10,2,green goblin character
11,3,mother son relationship
12,3,desert
13,3,mind control
14,3,empire
15,3,sandworm
16,4,meteorite
17,4,asteroid
18,4,meteor strike
19,4,meteor
20,4,american female politician
21,5,american imperialism
22,5,based on true story
23,5,muslim
24,5,prison
25,5,female lawyer
26,6,octopus
27,6,animal intelligence
28,6,underwater world
29,6,human animal friendship
30,6,depression
31,7,superhero
32,7,dc extended universe
33,7,extended version
34,7,justice league
35,7,badass
36,8,superhero
37,8,dragon
38,8,martial arts
39,8,hand to hand combat
40,8,scene during end credits
41,9,video game world
42,9,artificial intelligence
43,9,bank robbery
44,9,virtual reality
45,9,npc
46,10,marvel cinematic universe
47,10,superheroine
48,10,based on comic book
49,10,superhero
50,10,spy
51,11,superheroine
52,11,suicide squad
53,11,giant monster
54,11,superhero
55,11,based on comic
56,12,gay
57,12,superhero
58,12,gay superhero
59,12,homosexual
60,12,gay kiss
61,13,official james bond series
62,13,espionage
63,13,spy
64,13,mi6
65,13,poison
66,14,colombia
67,14,magic
68,14,magical house
69,14,candle
70,14,3d animation
71,15,sequel
72,15,second part
73,15,venom character
74,15,carnage character
75,15,based on comic book
76,16,fourth part
77,16,matrix
78,16,war against machines
79,16,self referential
80,16,simulation
81,17,one man army
82,17,fighting back
83,17,russian mafia
84,17,home invasion
85,17,nightclub
86,18,1920s
87,18,dog
88,18,sled dog
89,18,nome alaska
90,18,alaska
91,19,oxygen tank
92,19,deaf girl
93,19,trying to avoid making noise
94,19,boat
95,19,caught in a leg hold trap
96,20,female villain
97,20,murder
98,20,fashion
99,20,fashion designer
100,20,younger version of character
101,21,thief
102,21,heist
103,21,chase
104,21,rivalry
105,21,art
106,22,time travel
107,22,soldier
108,22,alien invasion
109,22,alien
110,22,three word title
111,23,single parent
112,23,teacher student relationship
113,23,ghost
114,23,earthquake
115,23,farmhouse
116,24,monster versus monster
117,24,kaiju
118,24,godzilla character
119,24,king kong character
120,24,monsterverse
121,25,gay character
