m_id,m_watchmode_id,m_imdb,m_tmdb,m_title,m_plot,m_runtime,m_viewer_rating,m_release_year,m_review_count,cr_id
1,1230157,tt0103994,18183,Like Water for Chocolate,"When tradition prevents her from marrying the man she loves, a young woman discovers she has a unique talent for cooking.",6300,7.1,1992,173,1
2,1589918,tt10872600,634649,Spider-Man: No Way Home,"With Spider-Man&apos s identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",8880,8.2,2021,6163,2
3,1496273,tt1160419,438631,Dune,"Paul Atreides arrives on Arrakis after his father accepts the stewardship of the dangerous planet. However, chaos ensues after a betrayal as forces clash to control melange, a precious resource.",9300,8,2021,5971,2
5,1592164,tt4761112,644583,The Mauritanian,Mohamedou Ould Slahi fights for freedom after being detained and imprisoned without charge by the U.S. Government for years.,7740,7.5,2021,379,4
6,1617655,tt12888462,682110,My Octopus Teacher,"A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world.",5100,8.1,2020,673,5
7,1612493,tt12361974,791373,Zack Snyder's Justice League,"Determined to ensure that Superman&apos s ultimate sacrifice wasn&apos t in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",14520,7.9,2021,8123,3
8,1567837,tt9376612,566525,Shang-Chi and the Legend of the Ten Rings,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",7920,7.4,2021,2528,2
9,1534152,tt6264654,550988,Free Guy,"When Guy, a bank teller, learns that he is a non-player character in a bloodthirsty, open-world video game, he goes on to become the hero of the story and takes the responsibility of saving the world.",6900,7.1,2021,2192,2
10,1501613,tt3480822,497698,Black Widow,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,8040,6.6,2021,3053,2
11,1496510,tt6334354,436969,The Suicide Squad,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",7920,7.2,2021,3538,4
12,1490260,tt9032400,524434,Eternals,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",9360,6.3,2021,3728,2
13,157269,tt2382320,370172,No Time to Die,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",9780,7.3,2021,4189,2
14,1618750,tt2953050,568124,Encanto,"An extraordinary family, the Madrigals, live hidden in the mountains of Colombia, in a magical house called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift - every child except one, Mi...",6120,7.2,2021,1230,6
15,1586906,tt7097896,580489,Venom: Let There Be Carnage,"Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.",5820,5.9,2021,1594,2
16,1586886,tt10838180,624860,The Matrix Resurrections,"Return to a world of two realities: one, everyday life  the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more.",8880,5.6,2021,5796,4
17,1583847,tt7888964,615457,Nobody,"A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss.",5520,7.4,2021,2513,4
